Chunk ID: 6, Score: 4.946158523472777
Chunk ID: 8, Score: 4.244392110071448
Chunk ID: 10, Score: 2.978845378036196
Chunk ID: 13, Score: 0.9993794726831279
Chunk ID: 14, Score: 0.9224804080785518
Chunk ID: 2, Score: 0.0
Chunk ID: 3, Score: 0.0
Chunk ID: 4, Score: 0.0
Chunk ID: 5, Score: 0.0
Chunk ID: 7, Score: 0.0
Chunk ID: 19, Score: 0.0
Chunk ID: 9, Score: 0.0
Chunk ID: 18, Score: 0.0
Chunk ID: 11, Score: 0.0
Chunk ID: 12, Score: 0.0
Chunk ID: 15, Score: 0.0
Chunk ID: 16, Score: 0.0
Chunk ID: 17, Score: 0.0
Chunk ID: 1, Score: 0.0
