Chunk ID: 53, Score: 97.94815063476562

Chunk ID: 97, Score: 99.54672241210938

Chunk ID: 27, Score: 102.28559875488281

Chunk ID: 72, Score: 102.80014038085938

Chunk ID: 100, Score: 103.51801300048828

Chunk ID: 3, Score: 104.4095687866211

Chunk ID: 99, Score: 105.74111938476562

Chunk ID: 10, Score: 108.52677917480469

Chunk ID: 44, Score: 110.31897735595703

Chunk ID: 95, Score: 110.3780746459961

Chunk ID: 28, Score: 110.38764190673828

Chunk ID: 23, Score: 111.02406311035156

Chunk ID: 89, Score: 112.83399200439453

Chunk ID: 16, Score: 113.06832885742188

Chunk ID: 21, Score: 113.3941650390625

Chunk ID: 20, Score: 113.52596282958984

Chunk ID: 37, Score: 114.43942260742188

Chunk ID: 70, Score: 115.46807861328125

Chunk ID: 2, Score: 115.63199615478516

Chunk ID: 78, Score: 115.79515075683594

Chunk ID: 12, Score: 116.06947326660156

Chunk ID: 84, Score: 116.19768524169922

Chunk ID: 75, Score: 116.60088348388672

Chunk ID: 45, Score: 116.78396606445312

Chunk ID: 11, Score: 116.89266967773438

Chunk ID: 58, Score: 117.79776000976562

Chunk ID: 35, Score: 118.65675354003906

Chunk ID: 13, Score: 118.86983489990234

Chunk ID: 56, Score: 118.98908996582031

Chunk ID: 1, Score: 119.50421905517578

Chunk ID: 26, Score: 119.69868469238281

Chunk ID: 82, Score: 119.79045104980469

Chunk ID: 86, Score: 119.81049346923828

Chunk ID: 6, Score: 119.8268814086914

Chunk ID: 94, Score: 119.94927215576172

Chunk ID: 25, Score: 120.15933990478516

Chunk ID: 59, Score: 120.80623626708984

Chunk ID: 29, Score: 120.98945617675781

Chunk ID: 17, Score: 121.06853485107422

Chunk ID: 67, Score: 121.83368682861328

Chunk ID: 87, Score: 122.16912841796875

Chunk ID: 90, Score: 123.8648910522461

Chunk ID: 7, Score: 123.9540786743164

Chunk ID: 68, Score: 124.06210327148438

Chunk ID: 96, Score: 124.26005554199219

Chunk ID: 74, Score: 124.27458190917969

Chunk ID: 93, Score: 124.74687957763672

Chunk ID: 54, Score: 125.41621398925781

Chunk ID: 15, Score: 125.54747009277344

Chunk ID: 92, Score: 125.66835021972656

Chunk ID: 66, Score: 125.72422790527344

Chunk ID: 61, Score: 125.731201171875

Chunk ID: 48, Score: 126.51709747314453

Chunk ID: 69, Score: 126.58981323242188

Chunk ID: 83, Score: 127.09455108642578

Chunk ID: 60, Score: 127.36089324951172

Chunk ID: 52, Score: 127.82994079589844

Chunk ID: 43, Score: 127.83138275146484

Chunk ID: 55, Score: 128.43310546875

Chunk ID: 5, Score: 128.47576904296875

Chunk ID: 33, Score: 129.1653289794922

Chunk ID: 47, Score: 129.58209228515625

Chunk ID: 77, Score: 130.4484100341797

Chunk ID: 41, Score: 130.81875610351562

Chunk ID: 76, Score: 131.40087890625

Chunk ID: 91, Score: 131.60633850097656

Chunk ID: 62, Score: 131.6295166015625

Chunk ID: 46, Score: 132.43728637695312

Chunk ID: 4, Score: 132.90890502929688

Chunk ID: 32, Score: 133.8046417236328

Chunk ID: 38, Score: 133.92230224609375

Chunk ID: 40, Score: 135.50299072265625

Chunk ID: 80, Score: 135.62661743164062

Chunk ID: 85, Score: 135.9942626953125

Chunk ID: 42, Score: 136.45089721679688

Chunk ID: 51, Score: 137.39639282226562

Chunk ID: 73, Score: 137.80577087402344

Chunk ID: 65, Score: 137.89266967773438

Chunk ID: 18, Score: 138.3178253173828

Chunk ID: 79, Score: 139.2240753173828

Chunk ID: 8, Score: 139.5330047607422

Chunk ID: 24, Score: 141.57754516601562

Chunk ID: 88, Score: 143.33457946777344

Chunk ID: 19, Score: 144.438232421875

Chunk ID: 39, Score: 145.22288513183594

Chunk ID: 57, Score: 145.60520935058594

Chunk ID: 71, Score: 146.95883178710938

Chunk ID: 49, Score: 147.2613525390625

Chunk ID: 30, Score: 150.39329528808594

Chunk ID: 63, Score: 162.90811157226562

Chunk ID: 31, Score: 166.65928649902344

Chunk ID: 81, Score: 169.81585693359375

Chunk ID: 64, Score: 189.49951171875

Chunk ID: 34, Score: 217.64553833007812

Chunk ID: 98, Score: 222.9774169921875

Chunk ID: 36, Score: 231.3286590576172

Chunk ID: 9, Score: 239.50323486328125

Chunk ID: 50, Score: 247.325439453125

Chunk ID: 22, Score: 272.829345703125

Chunk ID: 14, Score: 282.32427978515625

