Pathway	annotation term
cell periphery	GO:0071944
extracellular region	GO:0005576
regulation of cell motility	GO:2000145
regulation of locomotion	GO:0040012
multicellular organismal process	GO:0032501
response to stimulus	GO:0050896
locomotion	GO:0040011
cell migration	GO:0016477
system development	GO:0048731
anatomical structure development	GO:0048856
Extracellular matrix organization	REAC:R-RNO-1474244
membrane	GO:0016020
cell motility	GO:0048870
developmental process	GO:0032502
Axon guidance	KEGG:04360
extracellular matrix	GO:0031012
cell adhesion molecule binding	GO:0050839
vesicle	GO:0031982
endomembrane system	GO:0012505
positive regulation of biological process	GO:0048518
protein binding	GO:0005515
regulation of cellular process	GO:0050794
blood vessel morphogenesis	GO:0048514
biological regulation	GO:0065007
cytoplasm	GO:0005737
extracellular matrix assembly	GO:0085029
myelin sheath	GO:0043209
cell adhesion	GO:0007155
olfactory bulb interneuron development	GO:0021891
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	REAC:R-RNO-381426
cell surface receptor signaling pathway	GO:0007166
Post-translational protein phosphorylation	REAC:R-RNO-8957275
positive regulation of chemotaxis	GO:0050921
forebrain neuron development	GO:0021884
regulation of endothelial cell migration	GO:0010594
Schmidt-Lanterman incisure	GO:0043220
regulation of response to external stimulus	GO:0032101
axon extension involved in axon guidance	GO:0048846
neuron projection extension involved in neuron projection guidance	GO:1902284
somatodendritic compartment	GO:0036477
