Pathway	annotation term	genes
cell periphery	GO:0071944	Cntn6, Prss12, Tex101, Sema4f, Hapln1, Parm1, Emp2, Htra1, Grb14, Steap2, Ltbp1, Gypc, Ntn1, Mag, Ptgfr, Mfap5, Mpz, Pxdn, Serinc5, Nrp1, Matn3, Slc9a9, Cdh13, Scn7a, Pkp1, Efemp2, Gldn, Alpl, Tspan4, Nrp2, Gprc5a, Tnik, Gnai1, Prkd3, Prkar2b, Cldn19, Lrp2, Col15a1, Sipa1l1, Emilin1, Lrrtm3, Cd151, Slco3a1, Phldb2, Gja1, Tspan5, Met, Pmp22, Rhoj, Itga8, Cldnd1, Klf9, Numb, Itga7, Mal, C1qtnf1, Timp1, Wnt5a, Plxnb1, Ano5, Has2, Slitrk6, Inpp5a, Parp14, Ghr, Chmp2b, Gpnmb, Col11a1, Efna5, Pals1, Bgn, Snx4, Rab10, Septin5, Stk39, Steap1
multicellular organismal process	GO:0032501	Aldh1a1, Pcsk5, Cpe, Col9a3, Emp2, Acta2, Igfbp3, Tril, Ccn3, Ntn1, Mag, Pltp, Drp2, Mpz, P2ry2, Pxdn, Serinc5, Tent5c, Nrp1, Apod, Matn3, Sncg, Cdh13, Epas1, Ddx1, Rrm2, Ecel1, Serpinf1, Gldn, Alpl, Nrp2, Slit2, Tnik, Dpysl5, Prkar2b, Cd9, Cldn19, Lrp2, Sipa1l1, Emilin1, Lrrtm3, Cd151, Pfn2, Fhod3, Nfatc1, Sgpl1, Fbxo11, Hs6st1, Pam, Phldb2, Poglut1, Gja1, Sema3g, Met, Aff3, Ccn4, Rhoj, Asap1, Itga8, Mef2c, Msh2, Atf5, Vash1, Ppm1f, Numb, Itga7, Mal, C1qtnf1, Timp1, Rcn3, Cxcl12, Fam20c, Wnt5a, Plxnb1, Arsb, Has2, Fut10, Slitrk6, Lef1, Tnfrsf1a, Ghr, Chmp2b, Gpnmb, Col11a1, Pals1, Col8a2, Hmx3, Hsp90aa1, Bgn, Snx4, Gcnt1, Stard13, Stk39, Igf2bp2
extracellular region	GO:0005576	Prss12, Pcsk5, Tex101, Qsox1, Htra1, Igfbp3, A2m, Ccn3, Tf, Defb29, Serpini1, Ntn1, Ptgfr, Pltp, Cxcl14, Pxdn, Cdh13, Gprc5b, Pappa, Serpinf1, Gldn, Alpl, Slit2, Cd9, Emilin1, Pam, Ccn4, Vash1, Psap, C1qtnf1, Arsg, Timp1, Cxcl12, Fam20c, Wnt5a, Has2, Tnfrsf1a, Ghr
regulation of cell motility	GO:2000145	Pcsk5, Tex101, Emp2, Chst2, Igfbp3, Ccn3, Ntn1, Nrp1, Cdh13, Slit2, Cldn19, Emilin1, Cd151, Pfn2, Phldb2, Met, Rhoj, Mef2c, Vash1, Ppm1f, Numb, Timp1, Cxcl12, Wnt5a, Arsb, Has2, Lef1, Gcnt1, Stard13, Tbccd1
system development	GO:0048731	Aldh1a1, Pcsk5, Cpe, Col9a3, Emp2, Acta2, Ccn3, Ntn1, Mag, Drp2, Mpz, Pxdn, Serinc5, Nrp1, Apod, Matn3, Cdh13, Epas1, Serpinf1, Gldn, Alpl, Nrp2, Slit2, Tnik, Dpysl5, Cd9, Lrp2, Sipa1l1, Emilin1, Lrrtm3, Fhod3, Nfatc1, Sgpl1, Hs6st1, Pam, Poglut1, Gja1, Sema3g, Ccn4, Rhoj, Asap1, Itga8, Mef2c, Msh2, Atf5, Vash1, Numb, Mal, Rcn3, Cxcl12, Fam20c, Wnt5a, Plxnb1, Has2, Fut10, Slitrk6, Lef1, Col11a1, Pals1, Col8a2, Hmx3, Bgn, Gcnt1, Stard13
regulation of locomotion	GO:0040012	Pcsk5, Tex101, Emp2, Chst2, Igfbp3, Ccn3, Ntn1, Nrp1, Cdh13, Slit2, Cldn19, Emilin1, Cd151, Pfn2, Phldb2, Met, Rhoj, Mef2c, Vash1, Ppm1f, Numb, Timp1, Cxcl12, Wnt5a, Arsb, Has2, Lef1, Gcnt1, Stard13, Tbccd1
locomotion	GO:0040011	Pcsk5, Tex101, Emp2, Chst2, Igfbp3, Ccn3, Ntn1, Cxcl14, Nrp1, Cdh13, Nrp2, Slit2, Cldn19, Emilin1, Cd151, Pfn2, Phldb2, Met, Rhoj, Mef2c, Vash1, Ppm1f, Numb, Timp1, Cxcl12, Wnt5a, Arsb, Has2, Lef1, Gcnt1, Stard13, Tbccd1
anatomical structure development	GO:0048856	Aldh1a1, Pcsk5, Cpe, Col9a3, Emp2, Acta2, Htra1, Igfbp3, Ccn3, Ntn1, Mag, Drp2, Tagln, Mpz, Pxdn, Serinc5, Tent5c, Nrp1, Apod, Matn3, Cdh13, Epas1, Rrm2, Serpinf1, Atf3, Gldn, Alpl, Nrp2, Slit2, Tnik, Dpysl5, Cd9, Lrp2, Sipa1l1, Emilin1, Lrrtm3, Cd151, Fhod3, Nfatc1, Sgpl1, Hs6st1, Agpat5, Pam, Phldb2, Poglut1, Gja1, Sema3g, Met, Aff3, Ccn4, Rhoj, Asap1, Itga8, Mef2c, Msh2, Atf5, Vash1, Numb, Itga7, Mal, Timp1, Rcn3, Cxcl12, Fam20c, Wnt5a, Plxnb1, Has2, Fut10, Slitrk6, Lef1, Tnfrsf1a, Col11a1, Efna5, Pals1, Col8a2, Hmx3, Bgn, Gcnt1, Slc39a13, Stard13, Tbccd1
cell migration	GO:0016477	Pcsk5, Emp2, Chst2, Igfbp3, Ccn3, Ntn1, Cxcl14, Nrp1, Cdh13, Nrp2, Slit2, Cd9, Cldn19, Emilin1, Cd151, Pfn2, Sgpl1, Phldb2, Gja1, Met, Rhoj, Mef2c, Vash1, Ppm1f, Numb, Timp1, Cxcl12, Wnt5a, Arsb, Has2, Fut10, Lef1, Gcnt1, Stard13, Tbccd1
vesicle	GO:0031982	Prss12, Tex101, Qsox1, Cpe, Parm1, Emp2, Synpr, Steap2, Serpini1, Vopp1, Man1a1, Nrp1, Slc9a9, Gprc5b, Tspan4, Gprc5a, Snx6, Cd9, Lrp2, Pam, Tpcn1, Psap, Numb, Ano5, Has2, Zfyve28, Chmp2b, Gpnmb, Vps8, Bgn, Snx4, Slc39a13, Rab10, Septin5, Steap1
